aac_breed_name, dogs_time_breed_name
Alaskan Husky,Siberian Husky  
American Eskimo,American Eskimo Dog
Anatol Shepherd,Anatolian Shepherd Dog
Bedlington Terr,Bedlington Terrier
Black/Tan Hound,Black and Tan Coonhound
Bluetick Hound,Bluetick Coonhound
Bouv Flandres,Bouvier des Flandres
Boykin Span,Boykin Spaniel
Bruss Griffon,Brussels Griffon
Catahoula,Catahoula Leopard Dog
Cavalier Span,Cavalier King Charles Spaniel
Chesa Bay Retr,Chesapeake Bay Retriever
Chihuahua Longhair,Chihuahua
Chinese Sharpei,Chinese Shar-Pei
Collie Rough,Collie
Dandie Dinmont,Dandie Dinmont Terrier 
Doberman Pinsch,Doberman Pinscher
Eng Toy Spaniel,English Toy Spaniel
English Bulldog,Bulldog
English Coonhound,American English Coonhound
English Pointer,Pointer
Entlebucher,Entlebucher Mountain Dog
Feist,Mountain Feist
Flat Coat Retriever,Flat-Coated Retriever
German Shepherd,German Shepherd Dog
German Shorthair Pointer,German Shorthaired Pointer
Glen Of Imaal,Glen of Imaal Terrier
Grand Basset Griffon Vendeen,Petit Basset Griffon Vend̩en 
Jindo,Korean Jindo Dog
Landseer,Newfoundland
Mexican Hairless, Xoloitzcuintli
Miniature Poodle,Poodle
Old English Bulldog,Bulldog
Parson Russell Terrier,Jack Russell Terrier
Patterdale Terr,Patterdale Terrier
Pbgv,Petit Basset Griffon Vend̩en
Picardy Sheepdog,Berger Picard
Pit Bull,American Pit Bull Terrier
Plott Hound,Plott
Podengo Pequeno,Portuguese Podengo Pequeno
Port Water Dog,Portuguese Water Dog
Presa Canario,Mastiff
Queensland Heeler,Australian Cattle Dog
Redbone Hound,Redbone Coonhound
Rhod Ridgeback,Rhodesian Ridgeback
Schnauzer Giant,Giant Schnauzer
Sealyham Terr,Sealyham Terrier
Smooth Fox Terrier,Fox Terrier
St. Bernard Rough Coat,Saint Bernard
St. Bernard Smooth Coat,Saint Bernard
Staffordshire,American Staffordshire Terrier
Standard Poodle,Poodle
Sussex Span,Sussex Spaniel
Toy Poodle,Poodle
West Highland,West Highland White Terrier
Wire Hair Fox Terrier,Fox Terrier
